slant_mean,slant_std,slant_entropy,space_mean,space_std,space_entropy,conc_mean,conc_std,conc_entropy,Label
94.25,5.438024953,1.93535584,91.33333333,14.8430947,4.16001158,14.35395998,5.584726559,3.672998318,1
98.30357143,11.34510537,2.753315136,82.46153846,16.83836607,4.136807931,14.04530971,3.88291532,3.480718721,0
68.54794521,11.34881696,3.023221372,62.38888889,15.22840507,4.437499252,12.11416006,4.138538285,3.734302517,1
75.01219512,10.06744803,2.729357893,61.69354839,23.62447385,4.726887249,12.13917693,3.615805785,3.514292435,0
100.4133333,11.90192515,2.86098601,83.41666667,17.75273844,4.26202272,14.67343741,3.686560804,3.474882501,0
72.40206186,7.260484483,2.454597409,61.54929577,15.6248166,4.381114371,12.55144409,4.260546716,3.716407525,0
45.77631579,2.180045172,0.84224935,94.89705882,26.59342008,4.78465466,9.864830907,3.220253315,3.419261631,0
101.18,13.76036337,2.984943689,68.58333333,22.73015007,4.809945405,13.7248217,3.370230987,3.498997043,1
90.8,3.455693589,1.010546777,36.21153846,11.83758119,3.74627459,13.54673712,5.365063378,3.649651068,0
100.5416667,13.87587585,3.213646059,79.35483871,31.42635876,4.978655644,14.16676805,5.788750516,3.586824678,0
68.27868852,4.42100481,1.814089137,75.90566038,11.38065912,3.990814476,10.45284573,2.829271838,2.728127721,0
99.37333333,11.50509839,2.98884772,88.59090909,22.76691996,4.567752775,12.91726299,4.002420647,3.558295569,1
104.7594937,11.59355472,2.897711865,82.94339623,20.3455202,4.594240617,13.08001935,3.352501688,3.321415125,0
75.34782609,10.46052079,2.897883601,55.5915493,25.28851962,4.82687128,11.816385,5.033831858,3.795237652,0
61.8,11.09646018,2.860076937,67,16.36333159,4.332340108,10.70104666,5.093242361,3.862805876,0
96.14606742,7.996559038,2.238664502,66.92982456,17.17082353,4.366547979,11.5625165,3.644219053,3.546909025,0
89.27941176,2.969678078,1.277675844,73.77777778,15.46281881,4.199448271,12.09380734,4.40668059,3.573612812,0
72.07317073,7.9323058,2.368272977,69.65517241,13.93030896,4.082232566,9.274724028,3.141766132,3.401346759,0
82.72941176,9.623975252,2.540672414,74.81034483,18.63576178,4.397023892,12.0808709,4.554588613,3.706921127,0
95.61038961,11.30584936,2.739437974,38.65384615,7.98046802,3.504881345,14.49091798,4.988267505,3.565266253,0
99.09473684,11.06732857,2.944109544,92.64912281,23.62090304,4.848722426,13.21908177,3.388827683,3.44693129,0
82.20338983,9.142524335,2.68200353,60.07317073,29.61409539,5.098388529,12.38865476,6.32570837,4.203008808,0
102.5098039,12.91658388,3.076911594,81.25757576,22.44880412,4.861310875,13.38750932,3.308271041,3.537002314,0
95.50537634,6.818103126,2.20752888,74.11666667,17.60217001,4.585374453,12.51912609,3.053795993,3.270822589,0
61.51041667,9.318434677,2.644663618,66.73015873,19.27676976,4.531661268,11.88760095,4.787662892,3.644251219,0
73.5,6.50290211,2.170162753,49.62626263,24.64314434,4.746166529,10.85777323,4.495796905,3.95292117,0
97.65178571,11.33870569,2.617639536,72.02631579,30.30241161,5.122504618,10.04517124,3.835518532,3.620961675,1
101.8735632,13.85292583,3.148965984,80.81481481,26.03066146,4.763603706,13.30675424,4.639217554,3.855721785,0
